"MPID","Name","Name_GD","Name_OP","Party.Name","PC_Ever","Reform_Ever","CdnAlliance_Ever"
NA,"Albert Cooper","COOPER, Albert",NA,"Progressive Conservative Party",1,0,0
NA,"Alex Patterson","PATTERSON, Alex",NA,"Progressive Conservative Party",1,0,0
NA,"Allan Lawrence","LAWRENCE, Allan",NA,"Progressive Conservative Party",1,0,0
NA,"Allan Mckinnon","MCKINNON, Allan",NA,"Progressive Conservative Party",1,0,0
NA,"Alvin Hamilton","HAMILTON, Alvin",NA,"Progressive Conservative Party",1,0,0
NA,"Erik Nielsen","NIELSEN, Erik",NA,"Progressive Conservative Party",1,0,0
NA,"Arnold Malone","MALONE, Arnold J.",NA,"Progressive Conservative Party",1,0,0
NA,"Frank Hamilton","HAMILTON, Frank",NA,"Progressive Conservative Party",1,0,0
NA,"Frank Oberle","OBERLE, Frank",NA,"Progressive Conservative Party",1,0,0
NA,"Benno Friesen","FRIESEN, Benno",NA,"Progressive Conservative Party",1,0,0
NA,"Bert Hargrave","HARGRAVE, Bert",NA,"Progressive Conservative Party",1,0,0
NA,"Gary Gurbin","GURBIN, Gary M.",NA,"Progressive Conservative Party",1,0,0
NA,"Ronald Stewart","STEWART, Ronald A.",NA,"Progressive Conservative Party",1,0,0
NA,"Geoff Scott","SCOTT, Geoff",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Clarke","CLARKE, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Domm","DOMM, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Jarvis","JARVIS, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Kempling","KEMPLING, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Mcknight","MCKNIGHT, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Scott","SCOTT, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Vankoughnet","VANKOUGHNET, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Wright","WRIGHT, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Yurko","YURKO, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Blaine Thacker","THACKER, Blaine A.",NA,"Progressive Conservative Party",1,0,0
NA,"Bob Corbett","CORBETT, Bob",NA,"Progressive Conservative Party",1,0,0
NA,"Girve Fretz","FRETZ, Girve",NA,"Progressive Conservative Party",1,0,0
NA,"Gordon Taylor","TAYLOR, Gordon",NA,"Progressive Conservative Party",1,0,0
NA,"Gordon Towers","TOWERS, Gordon",NA,"Progressive Conservative Party",1,0,0
NA,"Brian Mulroney","MULRONEY, Brian M.",NA,"Progressive Conservative Party",1,0,0
NA,"Bruce Halliday","HALLIDAY, Bruce",NA,"Progressive Conservative Party",1,0,0
NA,"Bud Bradley","BRADLEY, Bud",NA,"Progressive Conservative Party",1,0,0
NA,"Harvie Andre","ANDRE, Harvie",NA,"Progressive Conservative Party",1,0,0
NA,"Charlie Mayer","MAYER, Charlie",NA,"Progressive Conservative Party",1,0,0
NA,"Chris Speyer","SPEYER, Chris",NA,"Progressive Conservative Party",1,0,0
NA,"Jack Murta","MURTA, Jack B.",NA,"Progressive Conservative Party",1,0,0
NA,"Chuck Cook","COOK, Chuck",NA,"Progressive Conservative Party",1,0,0
NA,"Jake Epp","EPP, Jake",NA,"Progressive Conservative Party",1,0,0
NA,"Don Mazankowski","MAZANKOWSKI, Don",NA,"Progressive Conservative Party",1,0,0
NA,"Murray Cardiff","CARDIFF, Murray",NA,"Progressive Conservative Party",1,0,0
NA,"Dan Mckenzie","MCKENZIE, Dan",NA,"Progressive Conservative Party",1,0,0
NA,"Dave Nickerson","NICKERSON, Dave",NA,"Progressive Conservative Party",1,0,0
NA,"David Crombie","CROMBIE, David",NA,"Progressive Conservative Party",1,0,0
NA,"David Kilgour","KILGOUR, David",NA,"Progressive Conservative Party",1,0,0
NA,"Peter Elzinga","ELZINGA, Peter",NA,"Progressive Conservative Party",1,0,0
NA,"Robert Wenman","WENMAN, Robert L.",NA,"Progressive Conservative Party",1,0,0
NA,"Jim Hawkes","HAWKES, Jim",NA,"Progressive Conservative Party",1,0,0
NA,"Joe Clark","CLARK, Joe",NA,"Progressive Conservative Party",1,0,0
NA,"Joe Reid","REID, Joe",NA,"Progressive Conservative Party",1,0,0
NA,"Gerry St. Germain","ST. GERMAIN, Gerry",NA,"Progressive Conservative Party",1,0,0
NA,"Don Blenkarn","BLENKARN, Don",NA,"Progressive Conservative Party",1,0,0
NA,"Stan Korchinski","KORCHINSKI, Stan",NA,"Progressive Conservative Party",1,0,0
NA,"Stan Schellenberger","SCHELLENBERGER, Stan",NA,"Progressive Conservative Party",1,0,0
NA,"Don Munro","MUNRO, Don",NA,"Progressive Conservative Party",1,0,0
NA,"Doug Lewis","LEWIS, Doug",NA,"Progressive Conservative Party",1,0,0
NA,"Doug Neil","NEIL, Doug",NA,"Progressive Conservative Party",1,0,0
NA,"Doug Roche","ROCHE, Doug",NA,"Progressive Conservative Party",1,0,0
NA,"Steven Eugene Paproski","PAPROSKI, Steven Eugene",NA,"Progressive Conservative Party",1,0,0
NA,"Elmer Mackay","MACKAY, Elmer M.",NA,"Progressive Conservative Party",1,0,0
NA,"John Gamble","GAMBLE, John",NA,"Progressive Conservative Party",1,0,0
NA,"Flora Macdonald","MACDONALD, Flora",NA,"Progressive Conservative Party",1,0,0
NA,"Fred King","KING, Fred",NA,"Progressive Conservative Party",1,0,0
NA,"Fred Mccain","MCCAIN, Fred",NA,"Progressive Conservative Party",1,0,0
